순별 기후평년값(1991-2020),,,,,,,,,,,,,,,,,
10-DAY NORMALS,,,,,,,,,,,,,,,,,
지점번호,지점명,월,날짜,"기압(hPa)
Temperature",,"기온(℃)
Temperature",,,,"상대습도(%)
Relative Humidity","증기압(hPa)
Vapour Pressure",,"평균풍속
(m/s)","운량
(1/10)","강수량
(mm)","증발량
(mm)","일조시간
(hr)"
90,속초,11,하순,1021.4 ,3.1 ,6.5 ,1.6 ,10.6 ,2.4 ,55.1 ,5.6 ,1.3 ,2.4 ,,30.0 ,,53.9 
90,속초,12,상순,1021.8 ,2.9 ,3.9 ,2.4 ,8.1 ,-0.2 ,49.7 ,4.4 ,1.3 ,2.5 ,,18.2 ,,57.4 
90,속초,12,중순,1022.4 ,2.5 ,2.1 ,2.5 ,6.3 ,-2.0 ,45.5 ,3.7 ,1.0 ,2.6 ,,7.2 ,,61.5 
90,속초,12,하순,1021.5 ,2.8 ,1.6 ,2.0 ,5.7 ,-2.3 ,48.4 ,3.7 ,1.0 ,2.6 ,,14.6 ,,65.4 
95,철원,1,상순,1024.6 ,2.8 ,-5.7 ,3.6 ,0.7 ,-11.7 ,68.2 ,3.0 ,0.9 ,1.3 ,,8.7 ,,54.9 
95,철원,1,중순,1025.3 ,2.4 ,-5.8 ,2.9 ,0.7 ,-11.8 ,68.1 ,3.0 ,0.9 ,1.2 ,,5.7 ,,54.0 
95,철원,1,하순,1024.7 ,3.1 ,-5.6 ,2.9 ,0.8 ,-11.9 ,65.1 ,2.9 ,0.7 ,1.4 ,,3.8 ,,64.4 
95,철원,2,상순,1023.6 ,2.4 ,-4.5 ,2.4 ,2.0 ,-10.9 ,63.9 ,3.0 ,0.7 ,1.4 ,,4.8 ,,61.4 
95,철원,2,중순,1022.9 ,3.1 ,-2.1 ,2.0 ,4.2 ,-8.4 ,62.0 ,3.4 ,0.8 ,1.6 ,,10.1 ,,64.2 
95,철원,2,하순,1022.5 ,3.2 ,0.0 ,2.7 ,6.4 ,-6.0 ,63.5 ,4.0 ,1.1 ,1.6 ,,11.5 ,,50.3 
95,철원,3,상순,1020.3 ,2.3 ,1.5 ,1.4 ,7.5 ,-4.2 ,63.7 ,4.3 ,0.7 ,2.0 ,,10.6 ,,59.6 
95,철원,3,중순,1019.2 ,2.5 ,3.8 ,1.7 ,10.5 ,-2.8 ,59.9 ,4.7 ,0.8 ,2.1 ,,9.5 ,,64.0 
95,철원,3,하순,1018.0 ,3.0 ,5.6 ,1.9 ,12.3 ,-1.1 ,58.2 ,5.1 ,1.0 ,2.0 ,,10.7 ,,72.9 
95,철원,4,상순,1016.4 ,2.3 ,8.3 ,1.9 ,15.5 ,1.1 ,57.4 ,6.0 ,1.1 ,2.2 ,,16.3 ,,68.0 
95,철원,4,중순,1014.0 ,2.5 ,10.7 ,2.0 ,17.9 ,3.6 ,57.7 ,7.1 ,1.3 ,2.3 ,,25.5 ,,67.9 
95,철원,4,하순,1013.1 ,2.9 ,12.5 ,2.0 ,19.3 ,5.6 ,59.7 ,8.3 ,1.5 ,2.3 ,,27.3 ,,67.8 
95,철원,5,상순,1011.6 ,2.6 ,15.2 ,1.3 ,21.9 ,8.7 ,61.9 ,10.2 ,1.5 ,2.3 ,,33.8 ,,71.1 
95,철원,5,중순,1010.6 ,2.7 ,16.1 ,1.1 ,22.2 ,10.2 ,66.5 ,11.7 ,1.5 ,2.1 ,,44.4 ,,68.9 
95,철원,5,하순,1009.5 ,2.0 ,18.3 ,1.3 ,24.5 ,12.2 ,64.8 ,13.0 ,1.5 ,1.9 ,,24.2 ,,84.5 
95,철원,6,상순,1008.7 ,2.5 ,20.1 ,1.4 ,26.2 ,14.4 ,67.2 ,15.3 ,1.8 ,1.8 ,,23.6 ,,73.5 
95,철원,6,중순,1006.9 ,2.2 ,21.2 ,1.3 ,27.0 ,16.0 ,70.6 ,17.3 ,1.9 ,1.8 ,,33.4 ,,70.6 
95,철원,6,하순,1005.8 ,1.8 ,22.0 ,1.1 ,27.0 ,17.7 ,76.4 ,19.9 ,1.8 ,1.8 ,,62.1 ,,54.6 
95,철원,7,상순,1005.5 ,2.1 ,23.0 ,1.2 ,27.6 ,19.1 ,79.0 ,22.0 ,2.4 ,1.8 ,,103.2 ,,51.3 
95,철원,7,중순,1006.3 ,2.4 ,23.5 ,1.4 ,27.6 ,20.0 ,82.0 ,23.5 ,2.2 ,2.0 ,,131.4 ,,43.2 
95,철원,7,하순,1006.7 ,2.4 ,24.7 ,1.6 ,28.9 ,21.5 ,82.9 ,25.7 ,2.5 ,1.9 ,,165.3 ,,47.3 
95,철원,8,상순,1007.2 ,2.2 ,25.2 ,1.6 ,29.9 ,21.5 ,82.2 ,26.1 ,2.5 ,1.8 ,,149.3 ,,53.1 
95,철원,8,중순,1008.0 ,2.3 ,24.5 ,1.6 ,29.2 ,20.6 ,81.5 ,24.8 ,2.6 ,1.7 ,,87.5 ,,54.6 
95,철원,8,하순,1009.2 ,2.0 ,22.6 ,1.3 ,27.7 ,18.4 ,80.5 ,22.0 ,2.7 ,1.7 ,,110.7 ,,62.2 
95,철원,9,상순,1010.9 ,2.3 ,21.0 ,1.1 ,26.5 ,16.3 ,78.9 ,19.3 ,2.3 ,1.6 ,,53.0 ,,59.9 
95,철원,9,중순,1013.7 ,2.2 ,18.9 ,1.6 ,25.2 ,13.6 ,76.7 ,16.5 ,2.3 ,1.6 ,,49.2 ,,62.1 
95,철원,9,하순,1016.4 ,1.8 ,16.7 ,1.4 ,23.4 ,10.8 ,75.0 ,13.9 ,1.6 ,1.4 ,,19.0 ,,64.9 
95,철원,10,상순,1017.5 ,1.7 ,14.5 ,1.7 ,21.4 ,8.4 ,75.0 ,12.1 ,1.8 ,1.4 ,,20.0 ,,65.3 
95,철원,10,중순,1019.5 ,2.7 ,12.0 ,1.5 ,19.5 ,5.5 ,72.8 ,10.0 ,1.4 ,1.4 ,,13.3 ,,66.8 
95,철원,10,하순,1020.5 ,1.8 ,9.2 ,2.0 ,16.6 ,2.8 ,71.0 ,8.2 ,1.5 ,1.3 ,,16.6 ,,68.5 
95,철원,11,상순,1021.4 ,2.2 ,7.4 ,2.1 ,14.1 ,1.2 ,70.4 ,7.3 ,1.4 ,1.5 ,,17.1 ,,54.1 
95,철원,11,중순,1022.6 ,2.3 ,4.0 ,2.7 ,10.0 ,-1.3 ,70.8 ,6.0 ,1.7 ,1.5 ,,18.2 ,,51.1 
95,철원,11,하순,1023.7 ,2.9 ,1.5 ,1.9 ,7.4 ,-3.6 ,73.6 ,5.2 ,1.0 ,1.3 ,,12.8 ,,47.0 
95,철원,12,상순,1024.7 ,2.8 ,-1.5 ,2.4 ,4.2 ,-6.6 ,71.0 ,4.1 ,0.9 ,1.3 ,,9.0 ,,47.7 
95,철원,12,중순,1025.7 ,2.6 ,-3.6 ,2.8 ,2.2 ,-9.1 ,69.3 ,3.5 ,1.0 ,1.2 ,,5.3 ,,53.3 
95,철원,12,하순,1024.8 ,2.6 ,-4.3 ,2.3 ,1.7 ,-9.8 ,69.7 ,3.4 ,0.7 ,1.3 ,,7.8 ,,58.0 
98,동두천,1,상순,1025.0 ,2.7 ,-4.1 ,3.1 ,2.2 ,-9.4 ,61.6 ,3.0 ,0.9 ,1.4 ,,7.5 ,,60.0 
98,동두천,1,중순,1025.5 ,2.5 ,-3.8 ,3.0 ,2.5 ,-8.9 ,62.2 ,3.1 ,1.0 ,1.3 ,,6.6 ,,56.3 
98,동두천,1,하순,1024.9 ,3.0 ,-3.6 ,3.0 ,2.7 ,-9.0 ,59.1 ,3.0 ,0.8 ,1.5 ,,4.3 ,,67.3 
98,동두천,2,상순,1024.0 ,2.1 ,-2.8 ,2.4 ,3.6 ,-8.2 ,57.4 ,3.1 ,0.8 ,1.6 ,,5.1 ,,63.6 
98,동두천,2,중순,1023.7 ,3.1 ,-0.8 ,1.9 ,5.7 ,-6.4 ,56.6 ,3.4 ,0.9 ,1.7 ,,8.8 ,,65.7 
98,동두천,2,하순,1022.6 ,3.1 ,1.8 ,2.5 ,8.6 ,-3.7 ,58.7 ,4.1 ,1.1 ,1.6 ,,12.2 ,,51.5 
98,동두천,3,상순,1020.3 ,2.2 ,2.6 ,1.7 ,9.2 ,-2.7 ,58.0 ,4.3 ,0.8 ,2.0 ,,12.8 ,,63.1 
98,동두천,3,중순,1019.1 ,2.5 ,5.4 ,2.0 ,12.7 ,-0.8 ,55.1 ,5.0 ,0.9 ,2.0 ,,9.6 ,,69.0 
98,동두천,3,하순,1017.7 ,3.1 ,6.9 ,2.0 ,14.3 ,0.8 ,52.9 ,5.2 ,1.1 ,2.0 ,,9.6 ,,77.5 
98,동두천,4,상순,1016.4 ,2.6 ,9.5 ,1.6 ,17.1 ,3.1 ,54.2 ,6.2 ,1.1 ,2.0 ,,19.6 ,,68.7 
98,동두천,4,중순,1014.0 ,2.6 ,12.0 ,1.7 ,19.5 ,5.7 ,54.3 ,7.3 ,1.0 ,2.1 ,,23.8 ,,68.7 
98,동두천,4,하순,1013.4 ,2.8 ,13.2 ,2.1 ,20.5 ,6.9 ,57.3 ,8.3 ,1.3 ,2.0 ,,29.8 ,,68.7 
98,동두천,5,상순,1011.9 ,2.5 ,16.2 ,1.3 ,23.7 ,9.7 ,59.4 ,10.4 ,1.4 ,1.8 ,,33.4 ,,75.7 
98,동두천,5,중순,1010.7 ,2.6 ,16.7 ,1.4 ,23.6 ,10.9 ,64.6 ,11.8 ,1.2 ,1.8 ,,38.3 ,,70.3 
98,동두천,5,하순,1009.9 ,1.8 ,19.0 ,1.4 ,26.2 ,13.0 ,62.8 ,13.2 ,1.6 ,1.6 ,,23.5 ,,85.2 
98,동두천,6,상순,1009.1 ,2.4 ,21.0 ,1.3 ,28.0 ,15.2 ,63.7 ,15.2 ,1.7 ,1.5 ,,17.5 ,,77.8 
98,동두천,6,중순,1007.2 ,2.0 ,21.8 ,1.2 ,28.2 ,16.6 ,68.1 ,17.2 ,1.7 ,1.4 ,,43.2 ,,71.1 
98,동두천,6,하순,1005.9 ,1.6 ,22.7 ,1.1 ,28.3 ,18.3 ,73.5 ,19.9 ,1.6 ,1.5 ,,69.9 ,,55.0 
98,동두천,7,상순,1005.5 ,2.3 ,23.7 ,1.1 ,28.8 ,19.9 ,76.9 ,22.2 ,1.8 ,1.4 ,,105.7 ,,48.9 
98,동두천,7,중순,1006.5 ,2.7 ,24.0 ,1.3 ,28.4 ,20.6 ,80.4 ,23.8 ,1.9 ,1.5 ,,149.4 ,,38.5 
98,동두천,7,하순,1007.0 ,2.3 ,25.2 ,1.4 ,29.6 ,22.1 ,80.9 ,25.8 ,1.9 ,1.6 ,,176.7 ,,41.3 
98,동두천,8,상순,1007.4 ,2.3 ,26.2 ,1.6 ,31.2 ,22.5 ,78.5 ,26.4 ,2.0 ,1.6 ,,145.9 ,,55.3 
98,동두천,8,중순,1007.9 ,2.5 ,25.2 ,1.6 ,30.2 ,21.6 ,77.9 ,24.7 ,2.4 ,1.4 ,,91.9 ,,49.1 
98,동두천,8,하순,1009.1 ,2.2 ,23.6 ,1.0 ,28.9 ,19.5 ,76.9 ,22.3 ,2.6 ,1.4 ,,109.7 ,,59.7 
98,동두천,9,상순,1011.1 ,2.0 ,21.9 ,1.2 ,27.7 ,17.5 ,75.0 ,19.5 ,2.5 ,1.4 ,,61.4 ,,59.1 
98,동두천,9,중순,1013.8 ,2.0 ,20.2 ,1.3 ,26.2 ,15.5 ,73.9 ,17.3 ,2.3 ,1.3 ,,59.5 ,,57.7 
98,동두천,9,하순,1016.6 ,1.5 ,18.1 ,1.2 ,25.0 ,12.9 ,71.7 ,14.6 ,1.7 ,1.1 ,,17.0 ,,65.6 
98,동두천,10,상순,1017.4 ,1.8 ,15.7 ,1.5 ,22.8 ,10.2 ,71.5 ,12.6 ,1.7 ,1.2 ,,23.9 ,,64.7 
98,동두천,10,중순,1020.2 ,2.3 ,13.0 ,1.6 ,20.7 ,7.1 ,69.9 ,10.3 ,1.3 ,1.2 ,,9.1 ,,67.5 
98,동두천,10,하순,1020.6 ,1.7 ,10.9 ,1.9 ,18.3 ,5.1 ,66.7 ,8.8 ,1.6 ,1.2 ,,22.2 ,,69.0 
98,동두천,11,상순,1021.2 ,2.0 ,9.0 ,2.1 ,15.9 ,3.3 ,65.6 ,7.7 ,1.5 ,1.3 ,,19.0 ,,54.5 
98,동두천,11,중순,1022.6 ,2.3 ,5.0 ,2.7 ,11.5 ,-0.2 ,62.7 ,5.7 ,1.7 ,1.5 ,,16.1 ,,56.7 
98,동두천,11,하순,1023.9 ,3.0 ,3.1 ,1.7 ,9.3 ,-1.8 ,66.5 ,5.3 ,1.1 ,1.3 ,,12.3 ,,49.4 
98,동두천,12,상순,1024.7 ,3.2 ,0.1 ,2.4 ,5.9 ,-4.7 ,62.7 ,4.1 ,0.9 ,1.5 ,,8.5 ,,50.3 
98,동두천,12,중순,1025.8 ,2.6 ,-2.5 ,2.8 ,3.4 ,-7.4 ,61.5 ,3.4 ,0.9 ,1.4 ,,5.9 ,,58.0 
98,동두천,12,하순,1024.9 ,2.6 ,-3.3 ,2.0 ,2.7 ,-8.3 ,63.0 ,3.2 ,0.7 ,1.4 ,,7.7 ,,61.3 
99,파주,1,상순,1025.5 ,2.7 ,-5.1 ,3.5 ,1.4 ,-11.2 ,66.7 ,3.0 ,0.9 ,1.3 ,,6.0 ,,62.7 
99,파주,1,중순,1025.7 ,2.7 ,-4.3 ,2.9 ,2.1 ,-10.0 ,66.5 ,3.2 ,1.1 ,1.3 ,,7.1 ,,58.4 
99,파주,1,하순,1025.1 ,2.4 ,-4.5 ,3.3 ,1.9 ,-10.5 ,62.6 ,3.0 ,0.8 ,1.5 ,,4.3 ,,71.9 
99,파주,2,상순,1024.3 ,2.2 ,-3.5 ,2.6 ,2.9 ,-9.6 ,61.8 ,3.1 ,0.9 ,1.5 ,,5.3 ,,64.8 
99,파주,2,중순,1024.0 ,3.1 ,-1.3 ,2.1 ,5.2 ,-7.5 ,61.7 ,3.6 ,0.9 ,1.7 ,,9.5 ,,67.8 
99,파주,2,하순,1022.8 ,3.4 ,1.4 ,2.3 ,7.9 ,-4.5 ,65.1 ,4.4 ,1.2 ,1.6 ,,13.1 ,,51.7 
99,파주,3,상순,1020.9 ,1.9 ,2.1 ,1.5 ,8.4 ,-3.6 ,63.9 ,4.6 ,0.8 ,2.0 ,,14.1 ,,65.7 
99,파주,3,중순,1019.6 ,2.6 ,4.6 ,1.7 ,11.6 ,-1.9 ,61.7 ,5.2 ,1.0 ,1.9 ,,8.5 ,,69.5 
99,파주,3,하순,1018.3 ,3.0 ,6.4 ,1.7 ,13.4 ,-0.2 ,61.2 ,5.8 ,1.2 ,1.9 ,,8.8 ,,77.2 
99,파주,4,상순,1016.5 ,2.7 ,8.8 ,1.6 ,16.1 ,2.0 ,62.0 ,6.8 ,1.1 ,2.0 ,,17.6 ,,70.1 
99,파주,4,중순,1014.6 ,2.6 ,11.2 ,1.6 ,18.4 ,4.5 ,62.0 ,7.9 ,0.9 ,2.0 ,,23.8 ,,69.9 
99,파주,4,하순,1013.7 ,2.7 ,12.4 ,1.7 ,19.3 ,5.9 ,65.1 ,9.0 ,1.1 ,2.0 ,,32.8 ,,68.8 
99,파주,5,상순,1012.2 ,2.7 ,15.6 ,1.3 ,23.0 ,9.0 ,66.5 ,11.3 ,1.4 ,1.9 ,,34.0 ,,78.3 
99,파주,5,중순,1010.9 ,2.7 ,16.2 ,1.2 ,22.9 ,10.5 ,71.5 ,12.7 ,1.2 ,1.7 ,,41.1 ,,70.0 
99,파주,5,하순,1010.3 ,1.8 ,18.5 ,0.9 ,25.5 ,12.5 ,70.6 ,14.4 ,1.4 ,1.5 ,,26.9 ,,86.2 
99,파주,6,상순,1009.3 ,2.6 ,20.3 ,1.2 ,27.0 ,14.8 ,71.6 ,16.5 ,1.7 ,1.4 ,,16.7 ,,77.7 
99,파주,6,중순,1007.3 ,2.0 ,21.5 ,1.1 ,27.5 ,16.6 ,74.9 ,18.6 ,1.7 ,1.5 ,,35.3 ,,71.6 
99,파주,6,하순,1006.1 ,1.8 ,22.5 ,1.1 ,28.0 ,18.2 ,78.5 ,21.0 ,1.9 ,1.5 ,,55.4 ,,59.8 
99,파주,7,상순,1005.2 ,2.1 ,23.4 ,0.9 ,28.4 ,19.7 ,81.9 ,23.3 ,2.3 ,1.5 ,,106.7 ,,49.5 
99,파주,7,중순,1006.7 ,2.8 ,23.9 ,1.1 ,28.2 ,20.7 ,84.8 ,25.0 ,2.1 ,1.6 ,,147.8 ,,40.3 
99,파주,7,하순,1007.6 ,1.8 ,25.3 ,1.4 ,29.8 ,22.1 ,85.3 ,27.2 ,2.3 ,1.4 ,,140.6 ,,47.8 
99,파주,8,상순,1007.3 ,2.0 ,26.3 ,1.5 ,31.3 ,22.8 ,83.7 ,28.4 ,2.2 ,1.5 ,,103.8 ,,59.5 
99,파주,8,중순,1007.9 ,2.4 ,25.0 ,1.6 ,29.9 ,21.6 ,84.3 ,26.6 ,2.8 ,1.5 ,,97.2 ,,48.6 
99,파주,8,하순,1009.2 ,2.2 ,23.5 ,1.3 ,28.8 ,19.5 ,82.6 ,23.8 ,2.7 ,1.5 ,,81.9 ,,63.0 
99,파주,9,상순,1011.3 ,2.2 ,21.5 ,1.0 ,27.1 ,17.1 ,80.6 ,20.4 ,2.2 ,1.5 ,,69.8 ,,62.0 
99,파주,9,중순,1014.3 ,1.9 ,20.1 ,1.3 ,26.2 ,15.5 ,79.9 ,18.6 ,2.4 ,1.5 ,,46.8 ,,58.5 
99,파주,9,하순,1016.6 ,1.3 ,17.9 ,1.1 ,24.8 ,12.7 ,77.6 ,15.6 ,1.5 ,1.3 ,,17.9 ,,67.0 
99,파주,10,상순,1017.7 ,1.8 ,15.4 ,1.6 ,22.7 ,9.6 ,76.4 ,13.2 ,1.8 ,1.3 ,,22.3 ,,68.4 
99,파주,10,중순,1020.3 ,2.4 ,12.6 ,1.5 ,20.6 ,6.4 ,75.7 ,10.8 ,1.5 ,1.3 ,,9.2 ,,70.1 
99,파주,10,하순,1020.8 ,1.8 ,10.1 ,1.9 ,17.7 ,4.0 ,72.4 ,9.0 ,1.5 ,1.4 ,,18.7 ,,72.3 
99,파주,11,상순,1021.1 ,2.1 ,8.7 ,2.2 ,15.5 ,2.6 ,72.1 ,8.4 ,1.7 ,1.5 ,,24.4 ,,55.6 
99,파주,11,중순,1022.7 ,2.1 ,4.4 ,2.8 ,10.8 ,-1.2 ,69.4 ,6.1 ,1.8 ,1.5 ,,15.7 ,,58.0 
99,파주,11,하순,1024.1 ,3.1 ,2.5 ,2.2 ,8.6 ,-2.6 ,72.8 ,5.5 ,1.1 ,1.4 ,,12.7 ,,49.9 
99,파주,12,상순,1024.7 ,3.2 ,-0.7 ,2.5 ,5.0 ,-5.9 ,69.5 ,4.3 ,0.9 ,1.4 ,,9.0 ,,52.7 
99,파주,12,중순,1025.6 ,2.5 ,-3.1 ,2.9 ,2.8 ,-8.6 ,67.5 ,3.5 ,0.9 ,1.4 ,,5.1 ,,59.1 
99,파주,12,하순,1025.1 ,2.9 ,-3.9 ,2.1 ,2.0 ,-9.4 ,67.2 ,3.3 ,0.7 ,1.4 ,,5.9 ,,64.0 
100,대관령,1,상순,1023.1 ,2.9 ,-6.7 ,2.8 ,-1.4 ,-12.0 ,64.8 ,2.7 ,0.6 ,5.0 ,,13.8 ,,65.9 
100,대관령,1,중순,1024.3 ,2.5 ,-7.0 ,2.5 ,-1.8 ,-12.2 ,68.4 ,2.8 ,0.8 ,4.5 ,,21.5 ,,61.8 
100,대관령,1,하순,1023.5 ,3.2 ,-7.2 ,2.6 ,-2.1 ,-12.3 ,65.9 ,2.7 ,0.6 ,4.9 ,,17.7 ,,71.5 
100,대관령,2,상순,1022.4 ,2.3 ,-6.4 ,2.5 ,-0.9 ,-11.8 ,65.7 ,2.8 ,0.7 ,4.6 ,,12.7 ,,68.8 
100,대관령,2,중순,1022.1 ,3.1 ,-4.5 ,2.1 ,0.7 ,-10.0 ,63.6 ,3.0 ,0.7 ,4.4 ,,20.0 ,,68.9 
100,대관령,2,하순,1022.2 ,3.2 ,-2.8 ,2.9 ,2.4 ,-8.1 ,68.1 ,3.6 ,0.9 ,4.1 ,,16.4 ,,55.8 
100,대관령,3,상순,1019.9 ,2.6 ,-1.7 ,1.9 ,3.1 ,-6.6 ,68.5 ,3.8 ,0.6 ,4.3 ,,28.6 ,,65.0 
100,대관령,3,중순,1018.9 ,3.5 ,0.5 ,2.2 ,5.7 ,-4.8 ,64.5 ,4.1 ,0.6 ,4.3 ,,23.4 ,,69.5 
100,대관령,3,하순,1017.7 ,3.6 ,2.2 ,2.1 ,7.5 ,-2.9 ,64.5 ,4.6 ,0.8 ,4.1 ,,20.7 ,,76.4 
100,대관령,4,상순,1016.4 ,2.5 ,4.7 ,1.9 ,10.5 ,-0.9 ,62.7 ,5.3 ,1.0 ,4.1 ,,26.8 ,,72.1 
100,대관령,4,중순,1014.0 ,2.8 ,7.0 ,2.3 ,13.1 ,1.2 ,62.4 ,6.1 ,1.1 ,4.4 ,,28.7 ,,74.0 
100,대관령,4,하순,1012.9 ,3.2 ,9.2 ,1.9 ,15.2 ,3.3 ,60.6 ,6.9 ,1.2 ,4.5 ,,38.1 ,,77.1 
100,대관령,5,상순,1011.8 ,2.8 ,11.2 ,1.6 ,17.1 ,5.5 ,65.1 ,8.4 ,1.2 ,4.2 ,,31.7 ,,74.2 
100,대관령,5,중순,1010.7 ,3.1 ,12.3 ,1.6 ,18.1 ,6.7 ,67.9 ,9.5 ,1.1 ,4.1 ,,42.4 ,,75.5 
100,대관령,5,하순,1009.8 ,2.2 ,13.9 ,2.1 ,20.0 ,8.1 ,69.4 ,10.7 ,1.2 ,3.5 ,,34.1 ,,87.5 
