
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 01월 01일~01월 31일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
제주,184,01-01,       6.9,       9.5,       4.3,       1.5,      62.5,       2.5,       6.7,       1.8,    1021.7,    1024.5,       4.3
고산,185,01-01,       7.0,       9.6,       4.5,       0.5,      65.6,       3.3,,,    1014.5,    1023.5,      10.0
성산,188,01-01,       5.8,       9.8,       2.1,       1.2,      66.8,       4.7,,,    1021.4,    1023.8,       3.2
서귀포,189,01-01,       7.7,      11.6,       4.4,       0.7,      61.9,       5.2,       5.2,       2.0,    1016.5,    1022.8,       2.4
진주,192,01-01,       0.4,       7.8,      -5.8,       0.1,      57.6,       6.7,,,    1019.7,    1023.0,       1.3
강화,201,01-01,      -2.8,       2.0,      -7.6,       0.5,      65.7,       5.6,,,    1018.8,    1024.9,       1.5
양평,202,01-01,      -3.3,       2.2,      -8.4,       0.4,      68.7,       5.2,,,    1018.7,    1024.9,       1.3
이천,203,01-01,      -3.0,       2.7,      -8.4,       0.4,      64.5,       5.4,,,    1014.5,    1024.4,       1.2
인제,211,01-01,      -4.2,       1.6,      -9.7,       0.4,      64.9,       5.0,,,     998.4,    1023.9,       1.8
홍천,212,01-01,      -4.6,       1.9,     -10.2,       0.3,      66.7,       5.1,,,    1006.5,    1024.7,       0.9
태백,216,01-01,      -4.2,       1.3,      -9.0,       0.2,      55.7,       5.8,,,     934.3,    1021.9,       1.8
정선군,217,01-01,      -3.8,       2.0,      -8.8,       0.1,      60.1,       5.1,,,     986.0,    1025.5,       2.1
제천,221,01-01,      -4.8,       1.7,     -10.8,       0.4,      68.9,       5.6,,,     991.3,    1024.6,       1.4
보은,226,01-01,      -2.8,       3.5,      -8.6,       0.3,      67.2,       5.3,,,    1002.1,    1024.2,       1.5
천안,232,01-01,      -2.0,       3.5,      -7.1,       0.5,      69.0,       5.1,,,    1020.4,    1024.6,       1.7
보령,235,01-01,       0.4,       4.9,      -3.8,       0.6,      70.4,       5.1,,,    1022.3,    1024.6,       1.8
부여,236,01-01,      -1.3,       4.8,      -6.5,       0.4,      73.2,       5.0,,,    1023.2,    1024.9,       1.0
금산,238,01-01,      -2.1,       4.6,      -7.9,       0.4,      70.2,       5.3,,,    1003.1,    1024.9,       1.1
부안,243,01-01,       0.2,       5.2,      -4.5,       0.9,      75.1,       4.6,,,    1023.7,    1025.0,       1.3
임실,244,01-01,      -2.5,       4.1,      -8.2,       0.5,      74.8,       4.9,,,     993.9,    1025.2,       1.2
정읍,245,01-01,       0.2,       5.2,      -4.2,       1.2,      73.8,       4.4,,,    1018.9,    1024.8,       1.0
남원,247,01-01,      -1.4,       5.2,      -7.0,       0.5,      72.4,       5.2,,,    1011.9,    1024.9,       1.3
장수,248,01-01,      -2.7,       3.5,      -8.5,       0.6,      71.6,       5.1,,,     973.9,    1024.9,       1.8
영광군,252,01-01,      -0.4,       4.3,      -4.8,       1.0,      74.2,       4.8,,,    1020.8,    1025.8,       2.4
김해시,253,01-01,       1.7,       7.2,      -2.7,       0.1,      44.8,       7.7,,,    1016.6,    1024.1,       2.7
순창군,254,01-01,      -2.1,       4.1,      -7.4,       0.5,      73.6,       5.6,,,    1009.9,    1026.1,       1.6
양산시,257,01-01,       2.0,       7.7,      -2.7,       0.0,      48.5,       7.2,,,    1022.8,    1024.6,       2.2
강진군,259,01-01,       1.0,       6.3,      -3.7,       0.5,      68.9,       5.9,,,    1024.2,    1025.9,       2.6
장흥,260,01-01,       1.2,       7.1,      -4.0,       0.4,      68.3,       5.3,,,    1018.6,    1024.2,       2.4
해남,261,01-01,       1.6,       7.1,      -3.4,       0.5,      71.1,       5.2,,,    1022.4,    1024.7,       2.1
고흥,262,01-01,       1.8,       7.6,      -3.4,       0.1,      63.6,       5.6,,,    1017.4,    1024.0,       2.1
의령군,263,01-01,      -0.8,       7.5,      -7.2,       0.0,      65.9,       7.0,,,    1022.7,    1025.0,       1.3
함양군,264,01-01,      -0.2,       6.0,      -6.1,       0.1,      64.9,       6.2,,,    1006.1,    1025.6,       2.0
진도군,268,01-01,       2.2,       6.3,      -1.8,       0.8,,,,,,,       2.6
봉화,271,01-01,      -3.9,       3.3,     -10.4,       0.2,      62.3,       6.3,,,     982.8,    1022.7,       1.5
영주,272,01-01,      -2.0,       3.0,      -7.2,       0.2,      58.3,       6.1,,,     996.5,    1023.0,       3.9
문경,273,01-01,      -1.4,       3.8,      -6.3,       0.2,      55.3,       5.4,,,    1001.8,    1023.5,       2.4
청송군,276,01-01,      -2.8,       3.8,      -8.9,       0.1,      59.0,       6.4,,,     998.2,    1025.0,       2.0
영덕,277,01-01,       1.4,       6.4,      -2.9,       0.4,      48.0,       6.8,,,    1016.7,    1022.2,       3.5
의성,278,01-01,      -3.0,       5.3,      -9.8,       0.1,      63.8,       5.8,,,    1013.6,    1023.7,       1.3
구미,279,01-01,      -0.4,       5.4,      -5.4,       0.1,      59.6,       5.4,,,    1017.8,    1023.7,       1.9
영천,281,01-01,      -0.4,       6.0,      -5.8,       0.0,      55.1,       5.5,,,    1011.4,    1023.2,       2.5
경주시,283,01-01,       0.2,       6.3,      -5.0,       0.2,      52.3,       6.9,,,    1019.1,    1024.4,       3.1
경주시,283,01-01,       0.2,       6.3,      -5.0,       0.2,      52.3,       6.9,,,    1019.1,    1024.4,       3.1
거창,284,01-01,      -1.0,       6.1,      -7.3,       0.2,      61.2,       6.3,,,     995.6,    1023.8,       1.5
합천,285,01-01,       0.0,       7.6,      -6.0,       0.0,      59.3,       6.2,,,    1019.6,    1023.7,       1.2
밀양,288,01-01,       0.4,       7.8,      -5.6,       0.1,      58.0,       6.4,,,    1021.7,    1023.2,       1.4
산청,289,01-01,       0.7,       6.8,      -4.4,       0.1,      54.3,       5.5,,,    1006.4,    1024.0,       2.5
거제,294,01-01,       3.1,       8.0,      -1.4,       0.2,      52.8,       5.7,,,    1017.5,    1022.4,       1.8
남해,295,01-01,       2.7,       7.6,      -1.9,       0.2,      55.3,       6.4,,,    1017.9,    1023.7,       1.8
강남,400,01-01,      -1.1,       2.4,      -4.7,       0.3,,,,,,,       1.7
서초,401,01-01,      -1.1,       2.6,      -4.7,       0.3,,,,,,,       1.5
강동,402,01-01,      -2.3,       2.1,      -6.8,       0.3,,,,,,,       1.3
송파,403,01-01,      -0.8,       2.9,      -4.6,       0.3,,,,,,,       1.8
강서,404,01-01,      -1.7,       2.0,      -5.4,       0.3,,,,,,,       1.7
양천,405,01-01,      -1.2,       2.5,      -4.7,       0.4,,,,,,,       1.5
도봉,406,01-01,      -2.7,       2.1,      -7.4,       0.3,,,,,,,       1.1
노원,407,01-01,      -3.1,       2.2,      -8.5,       0.3,,,,,,,       1.6
동대문,408,01-01,      -1.1,       2.6,      -4.8,       0.3,,,,,,,       1.7
중랑,409,01-01,      -1.4,       2.3,      -5.2,       0.3,,,,,,,       1.8
기상청,410,01-01,      -1.3,       2.2,      -4.7,       0.4,,,,,,,       1.8
마포,411,01-01,      -1.3,       2.2,      -4.8,       0.4,,,,,,,       2.4
서대문,412,01-01,      -2.4,       2.1,      -6.4,       0.4,,,,,,,       1.9
광진,413,01-01,      -1.2,       2.5,      -4.9,       0.3,,,,,,,       1.8
성북,414,01-01,      -2.4,       1.4,      -6.0,       0.3,,,,,,,       1.5
용산,415,01-01,      -1.3,       2.2,      -4.8,       0.5,,,,,,,       1.5
은평,416,01-01,      -2.7,       1.9,      -7.2,       0.3,,,,,,,       1.8
금천,417,01-01,      -1.0,       2.5,      -4.2,       0.2,,,,,,,       1.6
중구,419,01-01,      -3.2,       0.5,      -6.5,       0.3,,,,,,,       2.6
성동,421,01-01,      -1.3,       2.0,      -4.5,       0.2,,,,,,,       2.2
구로,423,01-01,      -2.3,       1.8,      -6.2,       0.2,,,,,,,       1.7
강북,424,01-01,      -1.9,       2.0,      -5.4,       0.2,,,,,,,       1.7
남현,425,01-01,      -2.3,       1.8,      -6.2,       0.2,,,,,,,       1.3
부천,433,01-01,      -1.5,       2.2,      -4.9,       0.1,,,,,,,       1.1
안양,434,01-01,      -1.5,       1.9,      -4.9,       0.2,,,,,,,       2.3
광명,437,01-01,      -1.2,       2.3,      -4.4,       0.2,,,,,,,       1.8
군포,438,01-01,      -1.3,       2.4,      -4.7,       0.2,,,,,,,       1.4
김포,441,01-01,      -3.3,       1.4,      -7.5,       0.1,,,,,,,       1.4
하남,444,01-01,      -2.5,       2.3,      -7.0,       0.2,,,,,,,       0.8
의왕,445,01-01,      -2.8,       1.6,      -6.9,       0.1,,,,,,,       1.1
포천,504,01-01,      -4.4,       1.5,     -10.2,       0.4,,,,,,,       1.1
가평조종,505,01-01,      -5.2,       0.7,     -11.0,       0.4,,,,,,,       1.2
영등포,510,01-01,      -0.9,       2.5,      -4.3,       0.3,,,,,,,       1.5
인천연수,512,01-01,      -1.3,       2.7,      -5.5,       0.3,,,,,,,       1.7
안성,516,01-01,      -2.3,       2.9,      -7.4,       0.7,,,,,,,       1.2
간성,517,01-01,       0.3,       4.3,      -4.6,       0.3,,,,,,,       2.2
평창,526,01-01,      -4.9,       1.8,     -10.8,       0.2,,,,,,,       1.1
의정부,532,01-01,      -3.4,       1.6,      -8.8,       0.3,,,,,,,       1.0
횡성,536,01-01,      -4.5,       2.1,     -10.5,       0.5,,,,,,,       1.0
고양,540,01-01,      -3.3,       2.0,      -8.7,       0.2,,,,,,,       1.4
남양주,541,01-01,      -3.8,       2.4,      -9.9,       0.4,,,,,,,       1.1
안산,545,01-01,      -2.8,       2.4,      -8.8,       0.3,,,,,,,       1.7
경기광주,546,01-01,      -3.2,       2.0,      -8.3,       0.3,,,,,,,       1.4
여주,548,01-01,      -3.7,       1.8,      -8.8,       0.2,,,,,,,       1.3
용인,549,01-01,      -3.2,       2.6,      -8.5,       0.3,,,,,,,       1.2
오산,550,01-01,      -2.6,       2.5,      -7.5,       0.3,,,,,,,       1.3
평택,551,01-01,      -1.6,       2.8,      -6.6,       0.2,,,,,,,       1.7
화천,555,01-01,      -5.2,       1.7,     -11.2,       0.4,,,,,,,       1.1
양구,556,01-01,      -5.5,       1.5,     -11.6,       0.2,,,,,,,       1.0
시흥,565,01-01,      -1.7,       2.6,      -6.2,       0.4,,,,,,,       1.6
구리,569,01-01,      -2.6,       2.0,      -7.0,       0.2,,,,,,,       1.4
금곡,570,01-01,      -2.8,       2.0,      -7.2,       0.3,,,,,,,       1.2
화성,571,01-01,      -1.9,       2.5,      -6.4,       0.3,,,,,,,       1.3
성남,572,01-01,      -2.0,       2.4,      -6.0,       0.3,,,,,,,       1.4
과천,590,01-01,      -2.2,       2.6,      -7.0,       0.3,,,,,,,       1.6
진부령,595,01-01,      -5.2,      -1.0,      -9.2,       0.3,,,,,,,       4.1
양주,598,01-01,      -4.8,       1.5,     -10.7,       0.3,,,,,,,       1.1
단양,601,01-01,      -3.3,       2.1,      -8.3,       0.3,,,,,,,       0.8
진천,602,01-01,      -2.4,       3.3,      -7.9,       0.4,,,,,,,       1.2
괴산,603,01-01,      -3.4,       3.0,      -9.5,       0.3,,,,,,,       1.1
옥천,604,01-01,      -2.0,       3.8,      -7.4,       0.3,,,,,,,       1.1
홍북,608,01-01,      -1.6,       3.4,      -6.4,       0.5,,,,,,,       1.4
세종연서,611,01-01,      -2.5,       3.9,      -7.9,       0.2,,,,,,,       1.2
공주,612,01-01,      -2.1,       3.8,      -7.3,       0.3,,,,,,,       1.2
서천,614,01-01,      -0.6,       4.4,      -5.3,       0.6,,,,,,,       1.4
논산,615,01-01,      -1.5,       4.3,      -7.3,       0.3,,,,,,,       1.3
당진,616,01-01,      -1.3,       3.1,      -5.9,       0.4,,,,,,,       2.2
청양,618,01-01,      -2.2,       3.7,      -7.9,       0.5,,,,,,,       1.2
음성,619,01-01,      -3.8,       2.5,     -10.0,       0.3,,,,,,,       1.4
증평,623,01-01,      -3.1,       2.6,      -8.5,       0.3,,,,,,,       1.1
태안,627,01-01,       0.2,       3.7,      -3.6,       0.4,,,,,,,       1.9
예산,628,01-01,      -1.5,       3.2,      -6.1,       0.3,,,,,,,       1.8
아산,634,01-01,      -1.6,       3.1,      -5.9,       0.3,,,,,,,       1.8
계룡,636,01-01,      -2.6,       3.7,      -8.8,       0.3,,,,,,,       1.0
오월드,642,01-01,      -0.6,       4.6,      -5.0,       0.2,,,,,,,       1.1
세천,643,01-01,      -1.9,       3.9,      -7.3,       0.2,,,,,,,       1.0
장동,648,01-01,      -2.0,       3.8,      -6.9,       0.2,,,,,,,       0.8
부평,649,01-01,      -3.3,       2.1,      -8.3,       0.0,,,,,,,       0.8
연천청산,652,01-01,      -5.0,       1.3,     -10.6,       0.3,,,,,,,       1.0
양양,670,01-01,       0.3,       4.4,      -3.4,       0.4,,,,,,,       4.1
사북,674,01-01,      -5.9,      -1.3,      -9.8,       0.1,,,,,,,       3.9
무안,699,01-01,       0.6,       5.0,      -3.2,       0.8,,,,,,,       2.0
무주,701,01-01,      -2.8,       3.5,      -8.6,       0.2,,,,,,,       1.3
익산,702,01-01,      -0.2,       4.8,      -5.4,       0.4,,,,,,,       1.3
진안,703,01-01,      -3.0,       3.3,      -9.1,       0.5,,,,,,,       1.3
담양,706,01-01,       0.0,       5.5,      -5.3,       0.4,,,,,,,       1.6
광산,708,01-01,       0.4,       5.6,      -4.5,       0.7,,,,,,,       1.7
구례,709,01-01,       0.1,       5.9,      -5.0,       0.2,,,,,,,       1.7
나주,710,01-01,       0.3,       5.8,      -4.7,       0.8,,,,,,,       1.3
순천시,712,01-01,       2.5,       7.2,      -1.6,       0.0,,,,,,,       2.5
광양읍,713,01-01,       1.9,       7.4,      -2.9,       0.1,,,,,,,       2.0
조선대,722,01-01,       1.4,       5.6,      -2.3,       0.4,,,,,,,       1.9
거문도,723,01-01,       5.7,       8.1,       3.1,       0.2,,,,,,,       5.8
추자도,724,01-01,       5.9,       8.1,       3.4,       0.5,,,,,,,       5.0
장성,730,01-01,      -0.4,       5.1,      -5.1,       0.7,,,,,,,       1.4
영암,731,01-01,       0.8,       5.9,      -3.8,       0.6,,,,,,,       1.9
보성,732,01-01,       0.0,       5.6,      -5.5,       0.2,,,,,,,       1.9
완주,734,01-01,      -0.8,       4.9,      -6.2,       0.4,,,,,,,       1.5
김제,737,01-01,       0.0,       4.7,      -4.4,       0.6,,,,,,,       1.9
화순,741,01-01,       0.1,       5.7,      -4.9,       0.5,,,,,,,       1.4
함평,754,01-01,       1.0,       6.2,      -3.4,       0.9,,,,,,,       1.5
곡성,768,01-01,      -1.0,       5.1,      -5.7,       0.3,,,,,,,       1.4
성판악,782,01-01,      -0.2,       3.1,      -2.9,       2.3,,,,,,,       3.7
풍암,788,01-01,       0.4,       5.3,      -3.8,       0.8,,,,,,,       1.2
압해도,789,01-01,       2.1,       5.9,      -1.3,       0.4,,,,,,,       3.4
영양,801,01-01,      -2.3,       4.1,      -8.5,       0.1,,,,,,,       1.8
성주,810,01-01,      -1.1,       5.7,      -7.6,       0.1,,,,,,,       1.4
고령,812,01-01,      -1.1,       6.5,      -7.8,       0.0,,,,,,,       0.8
청도,813,01-01,      -1.1,       6.3,      -7.0,       0.1,,,,,,,       1.6
예천,815,01-01,      -2.2,       4.1,      -8.2,       0.1,,,,,,,       1.4
김천,822,01-01,      -1.3,       4.9,      -6.9,       0.1,,,,,,,       1.5
군위,823,01-01,      -2.5,       4.4,      -8.7,       0.1,,,,,,,       1.6
칠곡,825,01-01,      -0.3,       5.6,      -6.0,       0.0,,,,,,,       2.2
경산,827,01-01,       0.7,       5.9,      -4.1,       0.1,,,,,,,       2.0
달성,828,01-01,       0.7,       6.9,      -4.4,       0.1,,,,,,,       1.8
대구서구,846,01-01,       0.7,       5.8,      -3.8,       0.1,,,,,,,       1.8
신암,860,01-01,       1.3,       6.4,      -3.0,       0.1,      49.6,       6.5,       2.9,,    1015.2,    1022.7,       2.4
완산,864,01-01,       0.3,       5.3,      -4.1,       0.5,      67.2,       4.7,       4.4,       0.9,    1016.7,    1023.6,       1.5
삼척,876,01-01,       1.8,       6.1,      -2.0,       0.5,,,,,,,       2.4
울기,901,01-01,       3.7,       7.9,      -0.4,       0.2,,,,,,,       2.3
삼천포,907,01-01,       3.1,       7.1,      -1.0,       0.1,,,,,,,       2.5
영도,910,01-01,       4.0,       7.4,      -0.1,       0.2,,,,,,,       2.9
고성,918,01-01,       1.7,       8.0,      -3.9,       0.1,,,,,,,       1.8
창녕,919,01-01,      -0.7,       6.9,      -7.1,       0.0,,,,,,,       1.6
함안,920,01-01,      -0.8,       7.9,      -7.5,       0.1,,,,,,,       1.1
가덕도,921,01-01,       4.0,       7.7,       0.9,       0.0,,,,,,,       4.6
기장,923,01-01,       3.1,       8.5,      -2.0,       0.1,,,,,,,       1.8
간절곶,924,01-01,       4.1,       8.3,      -0.1,       0.3,,,,,,,       2.8
하동,932,01-01,       1.7,       7.4,      -3.5,       0.1,,,,,,,       1.8
해운대,937,01-01,       4.1,       8.9,      -0.4,       0.1,,,,,,,       2.5
부산진,938,01-01,       2.9,       7.3,      -1.2,       0.1,,,,,,,       2.4
동래,940,01-01,       3.4,       8.0,      -0.8,       0.1,,,,,,,       2.1
북구,941,01-01,       2.3,       7.1,      -1.9,       0.0,,,,,,,       1.7
부산남구,942,01-01,       3.7,       7.7,      -0.3,       0.0,,,,,,,       2.2
정자,949,01-01,       2.8,       7.9,      -2.1,       0.3,,,,,,,       3.0
속초,90,01-02,       0.7,       4.9,      -3.2,       0.4,      44.6,       6.4,,,    1018.3,    1020.6,       2.8
철원,95,01-02,      -5.5,       0.7,     -11.6,       0.6,      68.0,       5.5,,,    1004.4,    1024.4,       1.3
동두천,98,01-02,      -4.0,       2.2,      -9.2,       0.4,      62.1,       5.9,,,    1010.4,    1024.8,       1.4
파주,99,01-02,      -4.9,       1.5,     -10.9,       0.2,      67.1,       6.2,,,    1021.3,    1025.3,       1.3
대관령,100,01-02,      -6.6,      -1.5,     -11.8,       0.6,      64.1,       6.7,,,     922.8,    1022.8,       5.4
춘천,101,01-02,      -4.1,       1.8,      -9.1,       0.5,      69.2,       5.5,,,    1014.3,    1024.2,       1.1
백령도,102,01-02,      -0.8,       1.5,      -2.9,       0.6,      64.5,       3.9,       5.6,,    1007.6,    1025.2,       4.7
강릉,105,01-02,       1.5,       6.0,      -2.1,       0.5,      42.1,       6.6,,,    1017.6,    1020.9,       3.7
동해,106,01-02,       1.8,       6.2,      -2.2,       0.8,      42.1,       6.4,,,    1015.8,    1020.5,       2.9
서울,108,01-02,      -1.9,       2.1,      -5.5,       0.4,      57.1,       5.4,       3.5,       1.3,    1013.4,    1024.5,       2.3
인천,112,01-02,      -1.2,       2.5,      -4.5,       0.4,      61.9,       6.0,       3.5,       1.5,    1015.4,    1024.2,       3.2
원주,114,01-02,      -3.0,       2.4,      -7.9,       0.4,      64.4,       5.3,,,    1005.1,    1024.3,       1.0
울릉도,115,01-02,       2.4,       5.2,       0.2,       3.5,      66.8,       3.6,       6.7,       1.5,     992.4,    1020.0,       3.5
수원,119,01-02,      -1.9,       3.0,      -6.4,       0.4,      63.5,       5.5,       3.5,       1.2,    1020.1,    1024.7,       1.6
영월,121,01-02,      -3.6,       2.5,      -9.2,       0.4,      63.4,       6.0,,,     993.5,    1023.9,       1.3
충주,127,01-02,      -3.2,       2.6,      -8.2,       0.3,      67.4,       5.2,,,    1012.2,    1024.7,       1.4
서산,129,01-02,      -1.1,       3.9,      -5.7,       0.5,      71.7,       5.0,,,    1021.4,    1024.7,       2.2
울진,130,01-02,       1.9,       7.2,      -2.6,       0.8,      44.7,       7.0,,,    1014.5,    1020.8,       3.7
청주,131,01-02,      -1.3,       3.6,      -5.7,       0.3,      63.6,       5.4,       3.9,       1.0,    1017.3,    1024.7,       1.4
대전,133,01-02,      -0.9,       4.5,      -5.5,       0.4,      66.1,       5.5,       3.9,       1.1,    1015.8,    1024.7,       1.5
추풍령,135,01-02,      -1.4,       3.5,      -5.9,       0.3,      59.8,       5.8,,,     993.1,    1024.0,       3.7
안동,136,01-02,      -1.7,       4.3,      -7.1,       0.1,      57.9,       6.7,       2.8,       1.7,    1005.7,    1023.6,       1.9
상주,137,01-02,      -0.9,       3.9,      -5.3,       0.3,      54.7,       6.1,,,    1012.0,    1024.3,       2.6
포항,138,01-02,       2.5,       7.2,      -1.3,       0.4,      45.5,       6.8,       2.5,       2.5,    1021.8,    1022.3,       2.9
군산,140,01-02,       0.2,       4.6,      -3.5,       0.6,      72.2,       5.3,,,    1021.4,    1024.8,       2.8
울산,152,01-02,       2.6,       8.1,      -1.8,       0.2,      45.0,       6.9,       2.5,,    1016.9,    1022.0,       2.3
창원,155,01-02,       2.9,       7.7,      -1.2,       0.1,      46.5,       6.5,       2.3,,    1019.7,    1022.6,       2.0
광주,156,01-02,       1.1,       5.9,      -2.8,       0.7,      67.5,       5.4,       4.3,,    1015.3,    1024.6,       1.7
부산,159,01-02,       3.9,       8.8,       0.1,       0.2,      43.4,       7.1,       2.4,       2.3,    1013.3,    1022.0,       3.6
통영,162,01-02,       3.5,       8.7,      -0.6,       0.1,      51.7,       6.8,,,    1019.0,    1023.0,       2.5
목포,165,01-02,       2.3,       6.5,      -1.0,       0.5,      71.0,       5.0,       5.0,       1.3,    1019.3,    1024.6,       4.2
여수,168,01-02,       3.2,       7.3,       0.0,       0.1,      51.6,       6.8,       2.8,       2.5,    1014.7,    1023.2,       4.8
흑산도,169,01-02,       4.3,       6.6,       2.2,       0.4,      68.6,       3.6,       5.9,,    1014.8,    1024.5,       6.9
완도,170,01-02,       3.2,       7.1,      -0.1,       0.3,      65.7,       5.0,,,    1020.3,    1024.1,       4.1
고창,172,01-02,      -0.2,       4.7,      -4.7,       0.7,      80.2,       5.0,,,    1019.9,    1026.8,       2.3
제주,184,01-02,       6.8,       9.5,       4.3,       1.4,      62.4,       2.8,       6.4,       1.9,    1021.7,    1024.5,       4.2
고산,185,01-02,       6.9,       9.4,       4.4,       0.5,      65.7,       3.5,,,    1014.5,    1023.5,       9.8
성산,188,01-02,       5.8,       9.7,       2.2,       1.1,      66.5,       4.7,,,    1021.4,    1023.8,       3.1
서귀포,189,01-02,       7.8,      11.5,       4.5,       0.7,      61.9,       5.3,       5.1,       2.0,    1016.4,    1022.8,       2.4
진주,192,01-02,       0.4,       7.8,      -5.6,       0.1,      56.8,       6.8,,,    1019.8,    1023.1,       1.3
강화,201,01-02,      -2.9,       2.0,      -7.7,       0.5,      64.7,       5.9,,,    1019.0,    1025.1,       1.5
양평,202,01-02,      -3.3,       2.3,      -8.4,       0.4,      67.8,       5.5,,,    1018.7,    1025.0,       1.3
이천,203,01-02,      -3.0,       2.8,      -8.3,       0.4,      63.3,       5.6,,,    1014.6,    1024.6,       1.2
인제,211,01-02,      -4.3,       1.6,      -9.8,       0.3,      64.6,       5.1,,,     998.5,    1024.1,       1.8
